65-848-25	16		Ceramic cap 12pF/100V NP0
55-660-13	30		Ribbon cable grey 10-core
43-150-08	12		Cable socket 6-pole
43-150-16	4		Cable socket 10-pole
43-717-12	25		Pin header 2x3 pole vertic
43-717-38	8		Pin header 2x5 pole vertic
65-226-84	100		Cap. 0,1uF/63VDC MKT
67-165-34	100		Elcap TK 1uF/100V RM2
67-164-27	25		Elcap TK 33uF/63V RM2,5
73-264-08	10		78L05ACZ 5V 0,1A V-reg
73-087-49	8		SMTHS07 humidity sensor
73-647-06	8		ATmega88-20PU
74-517-19	8		20,0 MHz crystal par
73-268-28	30		LM75BIM-5 dig temp sen
60-717-16	100		Resistor 330ohm 1% 0,6W
60-726-07	100		Resistor 2,00kohm 1% 0,6W
60-734-23	100		Resistor 10,0kohm 1% 0,6W
60-745-61	20		Resistor 100kohm 1% 0,6W
60-759-49	20		Resistor 10,0Mohm 1% 0,6W
75-032-61	25		EL264-10ID LED 3 mm red
65-766-31	25		Cap. 0,1uF X7R 0805 A5
48-375-14	16		Screw term. PCB 3-pole
